cluster,state,gene,KO,WT1,WT2,WT3,KO_above_allWT
2,Differentiated duct,Slpi,68.85500926843196,205.9306076842643,31.94959784039793,73.00001894304289,False
3,Cycling MG,Ccl20,34.76551671226557,10.86923763661273,21.075425025155727,17.679491507731484,True
3,Cycling MG,Cxcl1,941.6009827611207,1146.2105144064335,793.0241323419061,792.7559223945555,False
3,Cycling MG,Cxcl2,361.19836038004433,374.0005859507198,270.0595160200187,295.47320381538475,False
3,Cycling MG,Cxcl5,14.590347375227921,0.0,0.0,0.5642390906722814,True
3,Cycling MG,Ifitm1,6.631976079649055,3.9524500496773562,0.4901261633757145,1.1284781813445628,True
3,Cycling MG,Ifitm3,1330.7932632247364,1290.9689974758667,1412.0534766854337,708.1200587937133,False
3,Cycling MG,Il1rn,37.55792769317044,10.86923763661273,30.87794829267002,11.09670211655487,True
3,Cycling MG,Lcn2,995.2152735944941,357.69672949580075,407.2948417652188,185.25850143739908,True
3,Cycling MG,S100a8,47.12193530276961,1.9762250248386781,1.960504653502858,0.9403984844538025,True
3,Cycling MG,Slpi,34.13722424156198,19.26819399217711,70.57816752610289,30.84507029008472,False
4,Lipogenic/differentiated meibocyte,Ccl20,9.0658431265102,1.6654266177641899,0.0,3.199194546013138,True
4,Lipogenic/differentiated meibocyte,Cxcl1,492.88741989513994,316.014700720755,108.54794068716903,203.71645270419143,True
4,Lipogenic/differentiated meibocyte,Cxcl2,142.57394318614328,52.87729511401302,27.486388414347523,33.43674299704054,True
4,Lipogenic/differentiated meibocyte,Cxcl5,14.489851834678694,0.0,0.0,0.20639964812987988,True
4,Lipogenic/differentiated meibocyte,Ifitm1,30.99433547524854,4.996279853292569,9.783290791547422,1.651197185039039,True
4,Lipogenic/differentiated meibocyte,Ifitm3,596.7184437372226,235.2415097591918,226.4133011758118,204.23245182451615,True
4,Lipogenic/differentiated meibocyte,Il1rn,11.855333319282568,3.3308532355283798,5.590451880884242,3.9215933144677173,True
4,Lipogenic/differentiated meibocyte,Lcn2,682.9601821971016,168.20808839418316,174.70162127763257,71.72387772513325,True
4,Lipogenic/differentiated meibocyte,S100a8,25.64781260576817,0.0,0.4658709900736868,0.3095994721948198,True
4,Lipogenic/differentiated meibocyte,Slpi,4.339206966534796,4.163566544410474,5.124580890810555,2.992794897883258,False
5,Basal duct,Ccl20,14.092464503003617,0.0,0.0,12.890598189950977,True
5,Basal duct,Cxcl1,35.871727825827385,20.96970361743518,21.78536513633554,14.28417637264838,True
5,Basal duct,Cxcl2,60.213257421924546,46.77856960812463,47.65548623573399,64.45299094975488,False
5,Basal duct,Cxcl5,7.686798819820154,0.0,0.0,0.0,True
5,Basal duct,Ifitm1,16.654730776277002,3.2261082488361814,0.0,3.135550911069157,True
5,Basal duct,Ifitm3,129.39444680030593,111.30073458484826,32.67804770450331,62.711018221383135,True
5,Basal duct,Il1rn,14.092464503003617,12.904432995344726,12.25426788918874,21.252067286135397,False
5,Basal duct,Lcn2,25.622662732733847,4.839162373254273,2.7231706420419424,6.271101822138314,True
5,Basal duct,S100a8,6.405665683183462,0.0,0.0,0.0,True
5,Basal duct,Slpi,0.0,1.6130541244180907,1.3615853210209712,3.4839454567435073,False
