Comparison,Seed,Rank_genes,Term,ES,NES,NOM_p,FDR_q
KO_vs_WTmean,6,12551,Response to Type II Interferon (GO:0034341),0.29065878478673207,0.9740233101418585,0.49325337331334335,0.5108645399907535
KO_vs_WTmean,7,12551,Defense Response to Virus (GO:0051607),0.280864773767118,1.1191480014455348,0.2456839309428951,0.7903763696998571
KO_vs_WTmean,7,12551,Response to Cytokine (GO:0034097),0.28089716469492015,1.0932231409347806,0.2902338376891334,0.44878513577894236
KO_vs_WTmean,7,12551,Response to Type II Interferon (GO:0034341),0.2906587847861752,0.9895367337729548,0.46526655896607433,0.47070033349213913
KO_vs_WTmean,8,12551,Defense Response to Virus (GO:0051607),0.2808647737670234,1.1179828857474936,0.2635761589403974,0.8088167053364269
KO_vs_WTmean,8,12551,Response to Cytokine (GO:0034097),0.28089716469535886,1.095192421621194,0.29959514170040485,0.45243619489559167
KO_vs_WTmean,8,12551,Response to Type II Interferon (GO:0034341),0.29065878478665985,0.9916675898323771,0.464339908952959,0.47842227378190255
KO_vs_WTmean,9,12551,Defense Response to Virus (GO:0051607),0.28086477376689895,1.1013423811749832,0.2875816993464052,0.8809849521203831
KO_vs_WTmean,9,12551,Response to Cytokine (GO:0034097),0.2808971646946852,1.0689035508388176,0.3484646194926569,0.5205198358413133
KO_vs_WTmean,9,12551,Response to Type II Interferon (GO:0034341),0.2906587847868788,0.9750453392364827,0.49189985272459497,0.5052439580483357
KO_vs_WTmean,10,12551,Defense Response to Virus (GO:0051607),0.28086477376703467,1.1199299641470961,0.2506631299734748,0.8015582034830431
KO_vs_WTmean,10,12551,Response to Cytokine (GO:0034097),0.28089716469533876,1.0875463823662768,0.29579375848032563,0.4598991750687443
KO_vs_WTmean,10,12551,Response to Type II Interferon (GO:0034341),0.2906587847867022,0.9806885324437961,0.48480463096960924,0.4931255728689276
WT3_vs_WT1,1,12626,Response to Type II Interferon (GO:0034341),-0.3969149348129858,-1.830005707215662,0.0,0.0
WT3_vs_WT1,1,12626,Response to Cytokine (GO:0034097),0.2607176269012156,0.9386899781120758,0.6176772867420349,1.0
WT3_vs_WT1,1,12626,Defense Response to Virus (GO:0051607),0.21239585456523866,0.7743998282294221,0.8864097363083164,0.8610051993067591
WT3_vs_WT1,2,12626,Response to Type II Interferon (GO:0034341),-0.39691493481294765,-1.8892142557822527,0.0,0.0
WT3_vs_WT1,2,12626,Response to Cytokine (GO:0034097),0.2607176269010545,0.9321862989417391,0.640124095139607,1.0
WT3_vs_WT1,2,12626,Defense Response to Virus (GO:0051607),0.21239585456495325,0.7823079508481975,0.8884339815762539,0.8545138888888889
WT3_vs_WT1,3,12626,Response to Type II Interferon (GO:0034341),-0.39691493481315615,-1.8045648234799876,0.0,0.0
WT3_vs_WT1,3,12626,Response to Cytokine (GO:0034097),0.2607176269011174,0.9559387404085913,0.5674562306900103,1.0
WT3_vs_WT1,3,12626,Defense Response to Virus (GO:0051607),0.21239585456496649,0.7827092142398726,0.8795918367346939,0.8476521739130435
WT3_vs_WT1,4,12626,Response to Type II Interferon (GO:0034341),-0.39691493481311435,-1.8495195495013415,0.0,0.0
WT3_vs_WT1,4,12626,Response to Cytokine (GO:0034097),0.2607176269011741,0.9396336116462618,0.6363636363636364,1.0
WT3_vs_WT1,4,12626,Defense Response to Virus (GO:0051607),0.21239585456515972,0.7759820594626415,0.8660531697341514,0.8584347826086957
WT3_vs_WT1,5,12626,Response to Type II Interferon (GO:0034341),-0.39691493481297296,-1.8836954632574372,0.0,0.0
WT3_vs_WT1,5,12626,Response to Cytokine (GO:0034097),0.26071762690134465,0.9369123527628564,0.6333676622039135,1.0
WT3_vs_WT1,5,12626,Defense Response to Virus (GO:0051607),0.21239585456506518,0.78633776191778,0.8655804480651731,0.8383275261324041
WT3_vs_WT1,6,12626,Response to Type II Interferon (GO:0034341),-0.3969149348132091,-1.922461655994637,0.0,0.0
WT3_vs_WT1,6,12626,Response to Cytokine (GO:0034097),0.26071762690108485,0.9443431930060513,0.5983606557377049,1.0
WT3_vs_WT1,6,12626,Defense Response to Virus (GO:0051607),0.21239585456489363,0.7789811593756123,0.8931841302136317,0.8568443051201672
WT3_vs_WT1,7,12626,Response to Type II Interferon (GO:0034341),-0.39691493481320905,-1.9574955233321685,0.0,0.0
WT3_vs_WT1,7,12626,Response to Cytokine (GO:0034097),0.26071762690113087,0.9416135927616018,0.6171310629514963,1.0
WT3_vs_WT1,7,12626,Defense Response to Virus (GO:0051607),0.2123958545651197,0.7809173248659169,0.8813387423935092,0.8547097671185262
WT3_vs_WT1,8,12626,Response to Type II Interferon (GO:0034341),-0.3969149348129484,-1.8448258819181929,0.0,0.0
WT3_vs_WT1,8,12626,Response to Cytokine (GO:0034097),0.2607176269013063,0.9461292453069158,0.6143589743589744,1.0
WT3_vs_WT1,8,12626,Defense Response to Virus (GO:0051607),0.21239585456515656,0.7753011330638394,0.8976697061803445,0.8702157272094642
WT3_vs_WT1,9,12626,Response to Type II Interferon (GO:0034341),-0.3969149348132128,-1.8833590923722943,0.0,0.0
WT3_vs_WT1,9,12626,Response to Cytokine (GO:0034097),0.260717626901108,0.9429270976447356,0.5991778006166495,1.0
WT3_vs_WT1,9,12626,Defense Response to Virus (GO:0051607),0.2123958545650326,0.7788307839963544,0.8934010152284264,0.85417388292345
WT3_vs_WT1,10,12626,Response to Type II Interferon (GO:0034341),-0.3969149348130135,-1.8711677115771876,0.0,0.0
WT3_vs_WT1,10,12626,Response to Cytokine (GO:0034097),0.26071762690123435,0.9454238501338725,0.6092783505154639,1.0
WT3_vs_WT1,10,12626,Defense Response to Virus (GO:0051607),0.21239585456513313,0.7693086486677143,0.8995943204868154,0.8546148507980569
WT3_vs_WT2,1,12651,Response to Type II Interferon (GO:0034341),-0.5016524667304911,-2.0305774396164913,0.0,0.0
WT3_vs_WT2,1,12651,Response to Cytokine (GO:0034097),-0.30270191937442664,-1.4518405951292919,0.0,0.03269754768392371
WT3_vs_WT2,1,12651,Defense Response to Virus (GO:0051607),-0.26117501850499264,-1.2723177764733717,0.05434782608695652,0.08991825613079019
WT3_vs_WT2,2,12651,Response to Type II Interferon (GO:0034341),-0.5016524667301174,-2.041196937962616,0.0,0.0
WT3_vs_WT2,2,12651,Response to Cytokine (GO:0034097),-0.30270191937454366,-1.4288748025106928,0.009259259259259259,0.051873198847262256
WT3_vs_WT2,2,12651,Defense Response to Virus (GO:0051607),-0.2611750185049728,-1.289912427130148,0.03125,0.05475504322766571
WT3_vs_WT2,3,12651,Response to Type II Interferon (GO:0034341),-0.5016524667304214,-2.0391057259878664,0.0,0.0
WT3_vs_WT2,3,12651,Response to Cytokine (GO:0034097),-0.30270191937453667,-1.4000812189146135,0.01818181818181818,0.06048387096774194
WT3_vs_WT2,3,12651,Defense Response to Virus (GO:0051607),-0.2611750185053163,-1.272022407497521,0.06944444444444445,0.09408602150537634
WT3_vs_WT2,4,12651,Response to Type II Interferon (GO:0034341),-0.5016524667306337,-2.0940479609252183,0.0,0.0
WT3_vs_WT2,4,12651,Response to Cytokine (GO:0034097),-0.3027019193749501,-1.3803434398507723,0.0,0.05431754874651811
WT3_vs_WT2,4,12651,Defense Response to Virus (GO:0051607),-0.261175018504894,-1.2665282510940832,0.06451612903225806,0.08635097493036212
WT3_vs_WT2,5,12651,Response to Type II Interferon (GO:0034341),-0.5016524667305162,-2.0481565565052926,0.0,0.0
WT3_vs_WT2,5,12651,Response to Cytokine (GO:0034097),-0.30270191937464785,-1.4163053515233455,0.031914893617021274,0.044642857142857144
WT3_vs_WT2,5,12651,Defense Response to Virus (GO:0051607),-0.26117501850507746,-1.267788704247557,0.014492753623188406,0.08928571428571429
WT3_vs_WT2,6,12651,Response to Type II Interferon (GO:0034341),-0.5016524667302225,-2.0445641363034968,0.0,0.0
WT3_vs_WT2,6,12651,Response to Cytokine (GO:0034097),-0.30270191937450514,-1.4005817262681621,0.030612244897959183,0.0410958904109589
WT3_vs_WT2,6,12651,Defense Response to Virus (GO:0051607),-0.2611750185047326,-1.312712227590231,0.010526315789473684,0.057534246575342465
WT3_vs_WT2,7,12651,Response to Type II Interferon (GO:0034341),-0.5016524667304828,-2.044762062457191,0.0,0.0
WT3_vs_WT2,7,12651,Response to Cytokine (GO:0034097),-0.3027019193746528,-1.408077124120681,0.017857142857142856,0.03534031413612566
WT3_vs_WT2,7,12651,Defense Response to Virus (GO:0051607),-0.26117501850492364,-1.2647848193306543,0.06818181818181818,0.1099476439790576
WT3_vs_WT2,8,12651,Response to Type II Interferon (GO:0034341),-0.5016524667302097,-2.0423814946581333,0.0,0.0
WT3_vs_WT2,8,12651,Response to Cytokine (GO:0034097),-0.30270191937457686,-1.4033745255452768,0.019230769230769232,0.04851752021563343
WT3_vs_WT2,8,12651,Defense Response to Virus (GO:0051607),-0.26117501850510383,-1.2621945913020605,0.011235955056179775,0.07008086253369272
WT3_vs_WT2,9,12651,Response to Type II Interferon (GO:0034341),-0.5016524667306355,-2.063757248811363,0.0,0.0
WT3_vs_WT2,9,12651,Response to Cytokine (GO:0034097),-0.30270191937466007,-1.4421642582056644,0.01020408163265306,0.038461538461538464
WT3_vs_WT2,9,12651,Defense Response to Virus (GO:0051607),-0.2611750185051383,-1.279200057546049,0.012658227848101266,0.07977207977207977
WT3_vs_WT2,10,12651,Response to Type II Interferon (GO:0034341),-0.5016524667307083,-2.044645363961566,0.0,0.0
WT3_vs_WT2,10,12651,Response to Cytokine (GO:0034097),-0.3027019193747356,-1.4255130740770354,0.022727272727272728,0.03614457831325302
WT3_vs_WT2,10,12651,Defense Response to Virus (GO:0051607),-0.2611750185049403,-1.245078342796314,0.0684931506849315,0.08433734939759036
