Symbol,meanProbe,All_mean_log2,maxVar_probe,log2_variance,same_probe
GNG12,ILMN_1673380,6.57883178069295,ILMN_1673380,0.19158091114007278,True
GNG13,ILMN_1730256,4.002759001226034,ILMN_1730256,9.134505318307365e-05,True
GNG2,ILMN_1807925,4.237663016515853,ILMN_1807925,0.1948602034135335,True
GNG3,ILMN_1806147,4.616229466998495,ILMN_1806147,0.23505281646953716,True
GNG4,ILMN_1804357,4.187938798700149,ILMN_1804357,0.0700194958868238,True
GNG5,ILMN_1701854,5.98508509423052,ILMN_1701854,0.07502661612193416,True
GNG7,ILMN_1728107,4.2464775137261235,ILMN_1728107,0.16966223221691304,True
GNG8,ILMN_1693269,4.038552014921679,ILMN_1693269,0.005762144538946804,True
GNGT1,ILMN_2091100,4.0,ILMN_2091100,0.0,True
GNGT2,ILMN_1671237,4.16731031528213,ILMN_1671237,0.07095884202689966,True
GNL1,ILMN_1789457,6.707059995579812,ILMN_1789457,0.06955338257097513,True
GNL2,ILMN_1761113,8.731628642789266,ILMN_1761113,0.026846358875409728,True
GNL3,ILMN_1806106,8.55899120645309,ILMN_1806106,0.08801113526000735,True
GNL3L,ILMN_1708414,6.408006397864451,ILMN_1708414,0.10509053486190045,True
GNLY,ILMN_1790692,4.248071102795506,ILMN_1790692,0.1906773528231206,True
GNMT,ILMN_1736238,4.112072709447721,ILMN_1736238,0.09252665823495689,True
GNPAT,ILMN_1699859,7.428549124756968,ILMN_1699859,0.25384479698983986,True
GNPDA1,ILMN_1784709,7.757383206087399,ILMN_1784709,0.0964173296348036,True
GNPDA2,ILMN_1691567,6.440560424691382,ILMN_1691567,0.17672744902377888,True
GNPNAT1,ILMN_1686235,4.014665222065336,ILMN_1686235,0.0012263220688945296,True
GNPTAB,ILMN_1736757,5.965202019043762,ILMN_2110206,7.030691424295941,False
GNPTG,ILMN_1764230,7.993931036948117,ILMN_1764230,0.05147883218450657,True
GNRH1,ILMN_1745991,4.357949792688597,ILMN_1745991,0.16548254948838007,True
GNRH2,ILMN_2354285,5.6952759091008325,ILMN_2354285,0.4024059965685709,True
GNRHR,ILMN_2385918,4.0,ILMN_2385918,0.0,True
GNRHR2,ILMN_2224619,4.165837611340003,ILMN_2224619,0.060142100375557936,True
GNS,ILMN_1744517,9.717087584878303,ILMN_1744517,0.1109540115924173,True
GOLGA1,ILMN_1807152,5.444968309288693,ILMN_1807152,0.11006660173006093,True
GOLGA2,ILMN_1738821,7.352096751814084,ILMN_1738821,0.09843418944775238,True
GOLGA2L1,ILMN_1726505,4.79863523860041,ILMN_1726505,0.2077192281679424,True
GOLGA2LY1,ILMN_2091113,4.009559909138714,ILMN_2091113,0.0010967023528854311,True
GOLGA3,ILMN_1733511,7.895669828360361,ILMN_1733511,0.04625862783002633,True
GOLGA4,ILMN_1776297,6.889471869930501,ILMN_1776297,0.06376891980239402,True
GOLGA5,ILMN_1773741,7.754297758860323,ILMN_1773741,0.04714208846027867,True
GOLGA6,ILMN_1737359,5.576964161087976,ILMN_1737359,0.03781692480994589,True
GOLGA6B,ILMN_2144791,4.845145138093506,ILMN_2144791,0.3112651948572892,True
GOLGA7,ILMN_1778673,8.994448094681943,ILMN_1805221,0.19308200445266469,False
GOLGA8A,ILMN_1712469,5.416514265772738,ILMN_1712469,0.6519942220518615,True
GOLGA8B,ILMN_2103547,8.952329600906223,ILMN_2103547,0.25566805708465984,True
GOLGA8E,ILMN_2192351,4.286743625078076,ILMN_2192351,0.1331164467531105,True
GOLGA8F,ILMN_1669302,4.0567875955694,ILMN_1669302,0.018448539905669355,True
GOLGA8G,ILMN_1790740,4.210920372721635,ILMN_1790740,0.10788792559113754,True
GOLGB1,ILMN_1747935,5.829706200317345,ILMN_1747935,0.38166280563417404,True
GOLM1,ILMN_1766405,5.003288621483666,ILMN_1766405,0.8005833633636754,True
GOLPH3,ILMN_1708841,6.6735424201669815,ILMN_1708841,0.19460846243611016,True
GOLPH3L,ILMN_1706764,4.947713148998902,ILMN_1706764,0.16358224153459167,True
GOLPH4,ILMN_2186216,5.834493371849576,ILMN_1795344,0.3585032475615771,False
GOLSYN,ILMN_1738989,5.4322470474801925,ILMN_1738989,0.97984350844774,True
GOLT1A,ILMN_2137208,4.03458213386736,ILMN_2137208,0.014351087793840443,True
GOLT1B,ILMN_1767837,4.85746154503792,ILMN_1767837,0.4231698018129647,True
GON4L,ILMN_1661138,5.050822761274471,ILMN_1661138,0.16533057543935403,True
GOPC,ILMN_2388585,6.228930973048687,ILMN_2388585,0.04644821657995769,True
GORASP1,ILMN_1716821,6.0447860852104505,ILMN_1716821,0.15674146649173734,True
GORASP2,ILMN_1748018,7.5687408428190555,ILMN_1748018,0.08593399731186163,True
GOSR1,ILMN_1798816,5.079850960034271,ILMN_2401033,0.37394721236622885,False
GOSR2,ILMN_1656293,5.825978665498181,ILMN_1656293,0.04486114341262817,True
GOT1,ILMN_1656145,8.531228560420626,ILMN_1656145,0.1998860203506543,True
GOT1L1,ILMN_1778726,4.023917811666593,ILMN_1778726,0.0033715442540024026,True
GOT2,ILMN_1801348,8.396066639646463,ILMN_1801348,0.053955115819529824,True
GP1BA,ILMN_1753575,5.617143353105451,ILMN_1753575,0.11840399320465518,True
GP2,ILMN_2311873,4.285108909747777,ILMN_2311873,0.12488355120335762,True
GP5,ILMN_1780622,4.0499863351534575,ILMN_1780622,0.011461326294599023,True
GP6,ILMN_2223772,4.2893843362628505,ILMN_2223772,0.09420536148952795,True
GP9,ILMN_1743290,4.0,ILMN_1743290,0.0,True
GPA33,ILMN_1729170,5.457679876453948,ILMN_1729170,0.023481382164147514,True
GPAA1,ILMN_1769702,6.243393253324262,ILMN_1769702,0.12162716474413737,True
GPAM,ILMN_2178855,7.847308692254694,ILMN_2178855,1.2311564856158865,True
GPATC4,ILMN_1655230,4.255340165250498,ILMN_1655230,0.10311976878470051,True
GPATCH1,ILMN_1655625,4.963883244693411,ILMN_1655625,0.2587915887030054,True
GPATCH2,ILMN_1786036,4.739202608504385,ILMN_1786036,0.10985337721271925,True
GPATCH3,ILMN_1686929,4.446444079792361,ILMN_1686929,0.11403841376226577,True
GPATCH4,ILMN_2383305,7.102846121221223,ILMN_2383306,0.38948445986650787,False
GPATCH8,ILMN_1764617,4.033713303130902,ILMN_1764617,0.013639041695953612,True
GPBAR1,ILMN_2316386,4.12616758822792,ILMN_2316386,0.06995192518384795,True
GPBP1,ILMN_1711792,7.50705381064223,ILMN_2233493,0.07901014638687594,False
GPBP1L1,ILMN_1662719,6.1166284252694405,ILMN_2076250,0.08058559125976948,False
GPC1,ILMN_1801516,4.990021052048059,ILMN_1801516,0.3125526471371927,True
GPC2,ILMN_1651642,4.384084663454711,ILMN_1651642,0.19052668249937144,True
GPC3,ILMN_2051972,4.312109851009392,ILMN_2051972,0.06977653925748198,True
GPC4,ILMN_1789502,5.626170374111103,ILMN_1789502,0.35178298557983945,True
GPC5,ILMN_1688886,4.599822364054288,ILMN_1688886,0.15933201299896893,True
GPC6,ILMN_1805216,5.886458397163003,ILMN_1805216,0.126233586587693,True
GPD1,ILMN_1764175,4.985449833857283,ILMN_1764175,0.269693974386805,True
GPD1L,ILMN_1694106,7.440689768449527,ILMN_1694106,0.48925417648684993,True
GPD2,ILMN_1723139,4.265114381958155,ILMN_1723139,0.031071260839872092,True
GPER,ILMN_2384056,5.956853094899942,ILMN_1795298,0.3487494626488955,False
GPHA2,ILMN_1766204,4.362569525410825,ILMN_1766204,0.09641928339110657,True
GPHB5,ILMN_1788650,6.342925094414157,ILMN_1788650,0.10161785362629247,True
GPHN,ILMN_1677962,5.6242736577084305,ILMN_1677962,0.19614335939585983,True
GPI,ILMN_2173451,8.362199435122065,ILMN_2173451,0.1546938983470506,True
GPIHBP1,ILMN_1726210,5.410463937782156,ILMN_1726210,0.8291671223186377,True
GPKOW,ILMN_1684197,6.311901217639477,ILMN_1684197,0.05965627131199163,True
GPLD1,ILMN_1733564,4.015123270052056,ILMN_1733564,0.002744559564808797,True
GPM6A,ILMN_1716869,5.942790733677451,ILMN_1711312,0.08928651890397919,False
GPM6B,ILMN_1704665,6.194396641215523,ILMN_1704665,0.41046522857143214,True
GPNMB,ILMN_1801205,8.818350914990127,ILMN_1801205,0.33398969375463783,True
GPR1,ILMN_2107004,6.88553449040331,ILMN_2107004,1.1841078347668796,True
GPR101,ILMN_1796431,4.080183037072711,ILMN_1796431,0.024472818018854404,True
GPR103,ILMN_2221336,4.334824589033215,ILMN_2221336,0.12554675747074706,True
GPR107,ILMN_1811048,4.05773376475633,ILMN_1811048,0.010292200174709028,True
GPR108,ILMN_2396571,5.333595984133435,ILMN_2396571,0.26311077459023047,True
GPR109A,ILMN_1750497,4.089428823494029,ILMN_1750497,0.04587054597306781,True
GPR109B,ILMN_1782237,6.247683809387386,ILMN_1782237,0.04971381090140267,True
GPR110,ILMN_1744299,4.772960749025085,ILMN_2241124,0.39038276703521907,False
GPR111,ILMN_1715390,4.0,ILMN_1715390,0.0,True
GPR112,ILMN_2115534,4.014401585704395,ILMN_2115534,0.002488868049612189,True
GPR113,ILMN_1762897,5.9390441415018085,ILMN_1762897,0.052052179765580714,True
GPR114,ILMN_1666902,4.298239647239934,ILMN_1666902,0.12151879566795483,True
GPR115,ILMN_1684653,4.092526039068764,ILMN_1684653,0.06695471887058263,True
GPR116,ILMN_1728785,6.234924305401247,ILMN_1728785,0.2510014363893109,True
GPR119,ILMN_1684931,4.334913784542218,ILMN_1684931,0.10090763891207861,True
GPR12,ILMN_1703765,4.026605126061924,ILMN_1703765,0.004273349099280492,True
GPR120,ILMN_1755942,4.011929897825207,ILMN_1755942,0.0017078695454386715,True
GPR123,ILMN_1733541,4.0,ILMN_1733541,0.0,True
GPR124,ILMN_1773059,4.665377363639644,ILMN_1773059,0.3810253451722881,True
GPR125,ILMN_1696558,5.360110282149815,ILMN_1787648,0.16678099977329525,False
GPR126,ILMN_2367010,5.476965573974304,ILMN_2367010,0.2631234084198083,True
GPR128,ILMN_2125395,5.048645773656773,ILMN_2125395,0.19892484432428859,True
GPR132,ILMN_1811171,4.063947811324471,ILMN_1811171,0.02603600894280904,True
GPR133,ILMN_1682487,4.152207002961505,ILMN_1682487,0.15776087109029843,True
GPR135,ILMN_1658265,4.006418575231381,ILMN_1658265,0.0004943772960108527,True
GPR137,ILMN_1804332,9.605849568568484,ILMN_1804332,0.04085993997184692,True
GPR137B,ILMN_2121816,6.238624241878479,ILMN_2121816,0.11657675641466064,True
GPR137C,ILMN_1741224,4.0476553209222,ILMN_1741224,0.01526022573526385,True
GPR139,ILMN_1803218,4.062191117974297,ILMN_1803218,0.04641282185871451,True
GPR141,ILMN_2092333,4.264910159962192,ILMN_2092333,0.0952842874720433,True
GPR142,ILMN_1669626,4.0,ILMN_1669626,0.0,True
GPR143,ILMN_1756261,4.286294929150911,ILMN_1756261,0.09875530768438155,True
GPR144,ILMN_1798488,4.0,ILMN_1798488,0.0,True
GPR146,ILMN_1684227,4.0938568824826955,ILMN_1684227,0.048111675385251004,True
GPR148,ILMN_1703183,4.032897406848139,ILMN_1703183,0.012986872527984424,True
GPR149,ILMN_2122076,4.016569483920403,ILMN_2122076,0.003294573568662126,True
GPR15,ILMN_2192779,4.042215866346615,ILMN_2192779,0.016529294865962933,True
GPR150,ILMN_1708428,4.175282175135063,ILMN_1708428,0.1456238275960474,True
GPR151,ILMN_1811039,4.0,ILMN_1811039,0.0,True
GPR152,ILMN_1659982,4.0,ILMN_1659982,0.0,True
GPR153,ILMN_2146495,5.630457223846095,ILMN_2146495,0.052241686520125244,True
GPR155,ILMN_1709194,4.094135299203856,ILMN_1709194,0.06980095042478894,True
GPR156,ILMN_1731498,4.831476326367038,ILMN_1731498,0.1588830108549148,True
GPR157,ILMN_1654703,4.00713625164815,ILMN_1654703,0.000611113051028781,True
