Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of FZD by Ubiquitination,1/21,0.07428244681570347,0.1841620329441778,19.96384360828533,51.90360975057245,LGR4
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of Homotypic Cell-Cell Adhesion,1/31,0.10770844937287086,0.20350224726644184,13.413378367246066,29.88939646374393,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),2/112,0.06382962282479879,0.18102267010473666,6.214828766336679,17.100336822917914,IGFBP4;IGFBP2
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of Insulin Secretion,2/75,0.031069815444296947,0.1556214550730993,9.356158707137677,32.4800779995198,ACSL4;PLCB1
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of Lipid Metabolism by PPARalpha,1/116,0.3476066941244921,0.38957495640723916,3.5309665209162695,3.7311145124347598,ABCA1
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of MECP2 Expression and Activity,1/31,0.10770844937287086,0.20350224726644184,13.413378367246066,29.88939646374393,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of MITF-M-dependent Genes Involved in Apoptosis,1/17,0.060567584183063565,0.17836109273219408,24.80721790772042,69.5593259790493,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of MITF-M-dependent Genes Involved in Pigmentation,1/42,0.14309810434998382,0.22714829203510442,9.854029182054852,19.15844830527978,ARID1B
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of NPAS4 Gene Expression,1/13,0.04665159224326654,0.16518007266845228,32.75035175879397,100.38140738175221,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of NPAS4 mRNA Translation,1/9,0.032531551648223855,0.1556214550730993,48.16937629323086,165.00635843822025,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of PTEN mRNA Translation,1/11,0.03961726211805212,0.1562261167239165,38.99138549892319,125.88331156809635,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of RAS by GAPs,1/55,0.18313427347949734,0.25556311363957673,7.499930846895025,12.731400062627513,SPRED2
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of RUNX1 Expression and Activity,2/18,0.0019607912697134173,0.05581719147784195,41.765113059529305,260.38072065544543,TNRC6C;CDK6
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of RUNX2 Expression and Activity,1/57,0.1891270689518711,0.25637224902364747,7.233912927469205,12.046896829454685,ESR1
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of TP53 Activity,1/147,0.41815900965645764,0.4520351825906517,2.780609532303154,2.424395413169346,RBBP8
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of TP53 Activity Through Phosphorylation,1/86,0.2712858857554616,0.3253906551055677,4.775191748214758,6.229629607934631,RBBP8
P4,Reactome_Pathways_2024,gs_ind_0,Reproduction,2/91,0.044160597880144266,0.16397021995497044,7.6790119955761,23.95792105993816,STAG1;RBBP8
P4,Reactome_Pathways_2024,gs_ind_0,Resolution of D-Loop Structures,1/33,0.11424883561195394,0.20671293561993362,12.587011982991882,27.305967256473732,RBBP8
P4,Reactome_Pathways_2024,gs_ind_0,Resolution of D-loop Structures Through Holliday Junction Intermediates,1/32,0.11098459693722368,0.20604531692258482,12.987078248384782,28.550323385514286,RBBP8
P4,Reactome_Pathways_2024,gs_ind_0,Resolution of D-loop Structures Through Synthesis-Dependent Strand Annealing (SDSA),1/26,0.09114756758275655,0.19857148651957676,16.046408513154006,38.435568598252985,RBBP8
P4,Reactome_Pathways_2024,gs_ind_0,Resolution of Sister Chromatid Cohesion,1/116,0.3476066941244921,0.38957495640723916,3.5309665209162695,3.7311145124347598,STAG1
P4,Reactome_Pathways_2024,gs_ind_0,Respiratory Syncytial Virus (RSV) Attachment and Entry,1/23,0.08106535561630931,0.19076809135520847,18.187939698492464,45.697191038775365,GPC4
P4,Reactome_Pathways_2024,gs_ind_0,Respiratory Syncytial Virus Infection Pathway,1/102,0.31302906249874485,0.3593102410939894,4.020075748199123,4.669154128547146,GPC4
P4,Reactome_Pathways_2024,gs_ind_0,Retinoid Metabolism and Transport,1/39,0.1335865701175638,0.21939025169307594,10.623050316517654,21.38425920263491,GPC4
P4,Reactome_Pathways_2024,gs_ind_0,Ribavirin ADME,1/11,0.03961726211805212,0.1562261167239165,38.99138549892319,125.88331156809635,ADK
P4,Reactome_Pathways_2024,gs_ind_0,S Phase,2/149,0.10393974201927837,0.20350224726644184,4.649488083971436,10.526180424909823,STAG1;CABLES1
P4,Reactome_Pathways_2024,gs_ind_0,SARS-CoV Infections,3/383,0.16632094353654847,0.2481620168919416,2.5272077900198795,4.533396218269136,GPC4;ANO6;PARP8
P4,Reactome_Pathways_2024,gs_ind_0,SARS-CoV-1 Infection,1/135,0.391792489846731,0.42677396215447483,3.030038669182343,2.839215748138981,PARP8
P4,Reactome_Pathways_2024,gs_ind_0,SARS-CoV-2 Infection,3/266,0.07461365737550997,0.1841620329441778,3.665284873254513,9.512996600118854,GPC4;ANO6;PARP8
P4,Reactome_Pathways_2024,gs_ind_0,SHC-mediated Cascade FGFR1,1/20,0.07087242893827944,0.18230438046171882,20.98840355624275,55.55365534242182,FGFR1
P4,Reactome_Pathways_2024,gs_ind_0,SLC Transporter Disorders,2/93,0.04591878481144026,0.16518007266845228,7.510609969210285,23.139295481098223,AVPR1A;SLC1A3
P4,Reactome_Pathways_2024,gs_ind_0,SLC-mediated Transmembrane Transport,2/233,0.21058862430224173,0.276681054083253,2.9532073982304765,4.600650295532276,SLC16A7;SLC1A3
P4,Reactome_Pathways_2024,gs_ind_0,SUMO E3 Ligases SUMOylate Target Proteins,3/161,0.021532378008960067,0.1432303843266989,6.117172207393027,23.478915212680533,HDAC4;ESR1;STAG1
P4,Reactome_Pathways_2024,gs_ind_0,SUMOylation,3/167,0.023674109540266493,0.14865948196608517,5.892744135297327,22.058740779502862,HDAC4;ESR1;STAG1
P4,Reactome_Pathways_2024,gs_ind_0,SUMOylation of Chromatin Organization Proteins,1/53,0.17709763410262688,0.25039963497291945,7.7862167982771,13.478362460655353,HDAC4
P4,Reactome_Pathways_2024,gs_ind_0,SUMOylation of DNA Damage Response and Repair Proteins,1/74,0.23833959157565857,0.3019911145483864,5.557276176802379,7.969460621659022,STAG1
P4,Reactome_Pathways_2024,gs_ind_0,SUMOylation of Intracellular Receptors,2/30,0.005417514395149481,0.0797682291975458,24.169115682607533,126.11730163340725,ESR1;HDAC4
P4,Reactome_Pathways_2024,gs_ind_0,Semaphorin Interactions,1/64,0.20976111348061466,0.2764444304204397,6.434811854548332,10.049798749352027,SEMA5A
