Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P1,GO_Biological_Process_2026,gs_ind_0,Supramolecular Fiber Organization (GO:0097435),1/298,0.6674360225811695,0.6759203788004217,1.3616232422617287,0.5505202617880834,RAD51B
P1,GO_Biological_Process_2026,gs_ind_0,Synapse Organization (GO:0050808),1/161,0.4474925332274017,0.46771449901464573,2.536749166392711,2.0397884039694127,NBEA
P1,GO_Biological_Process_2026,gs_ind_0,"Synaptic Transmission, Glutamatergic (GO:0035249)",1/28,0.09780812250653742,0.1854302381540371,14.878300593878484,34.58829438886499,UNC13C
P1,GO_Biological_Process_2026,gs_ind_0,Synaptic Vesicle Docking (GO:0016081),1/11,0.03961726211805212,0.1600714829285777,38.99138549892319,125.88331156809635,UNC13C
P1,GO_Biological_Process_2026,gs_ind_0,Synaptic Vesicle Exocytosis (GO:0016079),1/43,0.1462455860603604,0.22313879780616147,9.621814957138634,18.49763110790661,UNC13C
P1,GO_Biological_Process_2026,gs_ind_0,T Cell Receptor Signaling Pathway (GO:0050852),1/75,0.24114053449635292,0.2970751945599399,5.482479511652221,7.7981439048024175,PDE4D
P1,GO_Biological_Process_2026,gs_ind_0,Tachykinin Receptor Signaling Pathway (GO:0007217),1/8,0.02896931280161029,0.1600714829285777,54.59396984924623,193.34553720447744,GNAQ
P1,GO_Biological_Process_2026,gs_ind_0,Taurine Metabolic Process (GO:0019530),1/9,0.032531551648223855,0.1600714829285777,48.16937629323086,165.00635843822025,CDO1
P1,GO_Biological_Process_2026,gs_ind_0,Toxin Metabolic Process (GO:0009404),1/7,0.025394089358317242,0.1600714829285777,62.9953614224971,231.39700796830692,FMO2
P1,GO_Biological_Process_2026,gs_ind_0,Transcription by RNA Polymerase II (GO:0006366),1/192,0.5073366533805407,0.525665289702092,2.1236600758360997,1.4410742845247158,GLIS3
P1,GO_Biological_Process_2026,gs_ind_0,Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway (GO:0141091),1/115,0.34519506723599774,0.37902735560215983,3.561936319150337,3.7886379270325987,RUNX2
P1,GO_Biological_Process_2026,gs_ind_0,Transport Across Blood-Brain Barrier (GO:0150104),1/85,0.2685951165573057,0.31937429282187096,4.83188129999108,6.351750414065389,SLC6A6
P1,GO_Biological_Process_2026,gs_ind_0,Tube Closure (GO:0060606),1/30,0.10442034991225575,0.18624226588827705,13.868580189080998,31.333708986565636,PRICKLE1
P1,GO_Biological_Process_2026,gs_ind_0,Type B Pancreatic Cell Differentiation (GO:0003309),1/9,0.032531551648223855,0.1600714829285777,48.16937629323086,165.00635843822025,PAX6
P1,GO_Biological_Process_2026,gs_ind_0,Vascular Endothelial Cell Response to Fluid Shear Stress (GO:0097699),1/25,0.08779905814197392,0.1803780077014192,16.70197928417598,40.630980258906256,ADCY2
P1,GO_Biological_Process_2026,gs_ind_0,Vascular Endothelial Cell Response to Laminar Fluid Shear Stress (GO:0097700),1/21,0.07428244681570347,0.17635931909556088,19.96384360828533,51.90360975057245,ADCY2
P1,GO_Biological_Process_2026,gs_ind_0,Vascular Transport (GO:0010232),1/83,0.2631840348188177,0.31450492160848714,4.949383280036546,6.606940349250194,SLC6A6
P1,GO_Biological_Process_2026,gs_ind_0,Visual Perception (GO:0007601),2/128,0.08042285111019247,0.17939462955831412,5.42555325936478,13.674873286643548,PAX6;EFEMP1
P1,GO_Biological_Process_2026,gs_ind_0,Visual System Development (GO:0150063),4/40,1.4061804714330927e-05,0.0050411569900876375,34.662999503158495,387.256705426375,MEIS1;PBX1;PAX6;MEIS2
P1,GO_Biological_Process_2026,gs_ind_0,Wnt Signaling Pathway (GO:0016055),3/85,0.003802400315822975,0.09087736754816911,11.785454545454545,65.66999938717031,TCF7L1;WNT5B;NXN
P1,GO_Biological_Process_2026,gs_ind_0,"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)",1/28,0.09780812250653742,0.1854302381540371,14.878300593878484,34.58829438886499,PRICKLE1
